   78  5      136.40
   40.100000 1982.643000  134.512600   .5394  128.253100      .51  20: 4    20.07     3.06
   39.100000 1983.083000  134.388500   .5478  128.173800      .50  20:34    20.58     3.09
   38.100000 1983.523000  134.263900   .5566  128.094500      .49  21: 4    21.07     3.12
   37.100000 1983.963000  134.138700   .5660  128.015200      .49  21:33    21.56     3.15
   36.100000 1984.404000  134.012600   .5759  127.936000      .48  22: 2    22.03     3.17
   35.100000 1984.844000  133.885500   .5867  127.856700      .47  22:30    22.50     3.20
   34.100000 1985.284000  133.757000   .5982  127.777400      .46  22:57    22.96     3.22
   33.100000 1985.725000  133.626900   .6108  127.698200      .45  23:24    23.41     3.25
   32.100000 1986.165000  133.494700   .6247  127.618900      .44  23:51    23.85     3.27
   31.100000 1986.605000  133.360000   .6406  127.539600      .02  23:52    23.87     3.28
   31.050500 1986.627000  133.353300   .6410  127.535700      .00  23:52    23.87     3.28
   31.050000 1986.627000  133.353200   .6410  127.535700      .00  23:52    23.87     3.28
   31.049500 1986.627000  133.353100   .6410  127.535600      .19  24: 4    24.07     3.28
   30.600000 1986.825000  133.291500   .6486  127.500000      .22  24:17    24.28     3.29
   30.100000 1987.045000  133.223300   .6347  127.443200      .45  24:43    24.73     3.22
   29.100000 1987.486000  133.087800   .6086  127.329500      .47  25:11    25.20     3.09
   28.100000 1987.926000  132.953600   .5845  127.215900      .48  25:40    25.68     2.95
   27.100000 1988.366000  132.820500   .5621  127.102300      .50  26:11    26.18     2.82
   26.100000 1988.807000  132.688800   .5413  126.988600      .52  26:42    26.71     2.69
   25.100000 1989.247000  132.558300   .5219  126.875000      .54  27:14    27.25     2.56
   24.100000 1989.687000  132.429300   .5036  126.761400      .56  27:48    27.81     2.43
   23.100000 1990.128000  132.301800   .4863  126.647700      .58  28:23    28.39     2.30
   22.100000 1990.568000  132.175900   .4703  126.534100      .18  28:34    28.57     2.18
   21.800500 1990.700000  132.138500   .4652  126.500100      .00  28:34    28.57     2.14
   21.800000 1990.700000  132.138500   .4652  126.500000      .00  28:34    28.57     2.14
   21.799500 1990.706000  132.138400   .4652  126.500000      .44  29: 0    29.00     2.14
   21.100000 2002.319000  132.049800   .4274  126.434000      .69  29:41    29.69     2.05
   20.100000 2018.921000  131.917100   .3816  126.339800      .77  30:27    30.46     1.92
   19.100000 2035.523000  131.777000   .3437  126.245600      .85  31:18    31.30     1.78
